,ID ANUNCIIO,FUENTE INFO,FECHA INICIO ANFITRION,TASA DE RESPUESTA,SUPERANFITRION,CANTIDAD TOTAL ANUNCIOS,LONGITUD,TIPO DE CUARTO,BAÑOS,CAMAS,PRECIO,NOCHES MAXIMAS,MAXIMO NOCHES MINIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MAXIMAS,DISPONIBILIDAD 30D,DISPONIBILIDAD 90D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 30D,PUNTAJE PRECISION,PUNTAJE CHECKIN,PUNTAJE UBICACION,RESERVA INSTANTANEA,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION COMPARTIDA
1619,887589023340895136,city scrape,2023-05-09,100%,t,9,6.13386,Private room,2.0,3.0,$160.00,7,2,1125,1125.0,26,79,7,0,5.0,4.86,4.57,t,0,0
1620,887614541730096446,city scrape,2023-05-09,100%,t,9,6.13248,Private room,1.0,3.0,$100.00,7,2,1125,1125.0,27,80,2,0,4.5,5.0,4.0,t,0,0
1621,887731590737928446,city scrape,2023-01-01,100%,f,3,6.14783,Entire home/apt,1.0,1.0,$174.00,365,1,365,365.0,0,54,61,0,4.72,4.92,4.9,t,1,0
1622,888087497245034736,city scrape,2019-02-11,100%,t,1,6.13940980285406,Private room,1.5,1.0,$92.00,7,1,1125,1125.0,26,86,41,0,4.88,4.98,4.98,t,0,0
1623,888968727765828953,city scrape,2014-03-09,,f,1,6.15712,Entire home/apt,2.0,8.0,$300.00,90,28,90,90.0,0,0,2,0,5.0,5.0,5.0,f,1,0
1624,889190622065558997,city scrape,2016-11-30,,f,1,6.2441442,Entire home/apt,1.5,2.0,$127.00,1125,2,1125,1125.0,0,0,7,0,4.71,4.57,5.0,f,1,0
1625,889803400891060741,city scrape,2023-05-12,,f,1,6.1231588,Private room,1.0,1.0,$80.00,30,2,30,30.0,27,87,4,0,5.0,5.0,4.75,f,0,0
1626,890522319558882693,previous scrape,2023-05-13,,f,1,6.19294,Entire home/apt,,,,1125,365,1125,1125.0,0,0,1,0,5.0,5.0,5.0,f,1,0
1627,890936843961840848,city scrape,2012-08-28,83%,t,2,6.13985,Private room,1.0,1.0,$61.00,365,2,365,365.0,13,13,24,1,4.83,4.92,4.79,f,0,0
1628,890986396120437360,city scrape,2014-05-13,,f,1,6.13295,Entire home/apt,1.0,1.0,$130.00,365,7,365,365.0,23,83,0,0,,,,f,1,0
1629,891281538238839731,city scrape,2016-01-05,100%,f,3,6.14116596137694,Entire home/apt,1.0,2.0,$127.00,60,3,60,60.0,30,34,0,0,,,,f,2,0
1630,892564198824256724,previous scrape,2023-05-16,100%,t,2,6.15112,Entire home/apt,,,,30,3,1125,1125.0,0,0,17,0,4.76,4.94,4.82,f,1,0
1631,892762509948044237,previous scrape,2015-10-24,100%,f,2,6.07956,Entire home/apt,,,,1125,2,1125,1125.0,0,0,29,0,4.86,4.93,4.79,f,1,0
1632,892851971946195417,city scrape,2022-12-01,100%,t,8,6.15417,Entire home/apt,3.0,3.0,$857.00,1125,3,1125,1125.0,9,69,7,0,4.0,5.0,5.0,f,1,0
1633,894202538662685357,previous scrape,2020-08-05,,t,2,6.12819,Entire home/apt,,,,90,2,90,90.0,0,0,49,0,4.96,4.96,4.88,f,1,0
1634,895435029114168981,city scrape,2014-08-24,10%,f,6,6.13182,Private room,1.0,1.0,$38.00,30,14,30,30.0,27,87,0,0,,,,f,0,0
1635,896203305559570003,city scrape,2014-07-13,100%,f,1,6.1459994,Entire home/apt,1.0,2.0,$232.00,365,1,365,365.0,0,0,11,0,4.82,5.0,4.82,t,1,0
1636,896361017387539976,city scrape,2015-01-19,,f,3,6.1266221,Entire home/apt,1.0,1.0,$96.00,365,7,365,365.0,30,90,0,0,,,,f,1,0
1637,897087350041057896,previous scrape,2014-03-04,,f,1,6.11967,Entire home/apt,,,,40,14,40,40.0,0,0,0,0,,,,f,1,0
1638,897101988404658870,previous scrape,2015-09-27,,f,1,6.13662,Entire home/apt,,,,10,2,1125,1125.0,0,0,25,0,4.88,4.96,4.96,t,1,0
1639,897493146771773891,previous scrape,2014-05-16,,f,1,6.19104,Entire home/apt,,,,500,4,500,500.0,0,0,5,0,4.8,5.0,5.0,f,1,0
1640,897643083705465153,city scrape,2017-04-30,100%,t,6,6.1806,Private room,1.0,1.0,$53.00,14,1,1125,1125.0,15,15,9,0,4.89,5.0,4.89,t,1,0
1641,898382628080107628,previous scrape,2019-05-11,,f,1,6.12117,Entire home/apt,,,,365,3,365,365.0,0,0,0,0,,,,f,1,0
1642,898532252363752475,city scrape,2014-08-15,,f,1,6.15684,Entire home/apt,1.0,3.0,$149.00,10,1,10,10.0,0,0,4,0,5.0,5.0,4.75,f,1,0
1643,899189419710273183,city scrape,2016-01-04,100%,t,4,6.1288072,Entire home/apt,1.0,2.0,$178.00,1125,2,1125,1125.0,10,47,114,6,4.91,4.93,4.89,f,1,0
1644,899791647469292219,city scrape,2021-02-03,100%,f,2,6.14265527576208,Entire home/apt,1.0,1.0,$180.00,365,2,365,365.0,22,82,13,0,4.85,5.0,4.77,t,2,0
1645,900415914140488124,previous scrape,2022-06-17,,f,1,6.11523,Entire home/apt,,,,365,1,365,365.0,0,0,10,0,4.3,4.7,4.3,f,1,0
1646,900808355466773627,city scrape,2022-06-08,,f,2,6.16096,Private room,1.0,2.0,$100.00,365,1,365,365.0,29,89,1,0,4.0,5.0,5.0,f,0,0
1647,901875503633377305,city scrape,2014-12-08,100%,f,1,6.147658,Entire home/apt,1.5,1.0,$160.00,175,15,1125,1125.0,22,82,7,0,5.0,5.0,4.86,t,1,0
1648,901999540349363400,city scrape,2017-02-02,100%,t,1,6.23023,Entire home/apt,1.5,2.0,$169.00,1125,4,1125,1125.0,0,0,16,0,4.94,5.0,4.88,f,1,0
1649,902080768539566997,previous scrape,2012-12-16,,f,1,6.12949,Entire home/apt,,,,365,3,365,365.0,0,0,11,0,5.0,4.91,4.64,f,1,0
1650,902097725401024062,previous scrape,2014-07-07,,f,2,6.14523,Private room,,,,23,18,23,23.0,0,0,2,0,5.0,5.0,5.0,f,1,0
1651,902123710469188312,city scrape,2019-06-17,,f,18,6.14825951481934,Entire home/apt,1.5,2.0,$136.00,365,2,365,365.0,0,0,11,0,4.91,4.91,4.91,t,1,0
1652,902235916116201076,city scrape,2018-02-19,100%,f,3,6.11037388443947,Private room,1.0,1.0,$71.00,8,1,1125,1125.0,0,28,4,0,4.75,4.5,4.75,f,1,0
1653,902513888318731108,city scrape,2018-10-21,,f,5,6.15335,Entire home/apt,1.0,1.0,$130.00,90,5,90,90.0,27,87,0,0,,,,t,5,0
1654,902738931318046775,city scrape,2015-03-26,,t,2,6.12987,Private room,1.0,1.0,$120.00,3,3,3,3.0,29,89,45,0,4.96,4.96,4.89,f,0,0
1655,903718734252246823,city scrape,2023-05-31,,t,1,6.15848,Private room,1.0,1.0,$55.00,20,2,1125,1125.0,0,56,50,0,4.92,4.94,4.74,f,0,0
1656,904564790317108024,city scrape,2021-12-06,93%,t,1,6.13617,Private room,1.0,1.0,$69.00,1125,1,1125,1125.0,26,54,62,0,4.92,4.9,4.73,t,0,0
1657,904807819740590802,city scrape,2022-08-16,100%,f,1,6.12991,Private room,1.5,0.0,$90.00,7,2,7,7.0,22,82,14,0,4.57,4.71,4.71,f,0,0
1658,905179087508221573,city scrape,2012-04-01,100%,t,2,6.14749,Entire home/apt,1.5,1.0,$180.00,10,2,10,10.0,11,11,29,3,4.9,4.97,5.0,f,1,0
1659,905500696641843726,city scrape,2012-09-10,98%,f,447,6.1626,Entire home/apt,2.5,4.0,$750.00,365,3,1125,1125.0,21,81,33,2,4.76,4.42,4.61,f,92,0
1660,905832953734011909,previous scrape,2012-07-01,,f,3,6.10887,Entire home/apt,,,,10,2,10,10.0,0,0,1,0,5.0,5.0,4.0,f,1,0
1661,906449809332508298,city scrape,2015-11-09,100%,f,2,6.14222,Entire home/apt,2.0,2.0,$172.00,1125,2,1125,1125.0,1,26,7,2,4.71,4.71,4.57,t,1,0
1662,906996043777706765,previous scrape,2019-03-01,,f,1,6.15906,Private room,,,,18,4,18,18.0,0,0,2,0,5.0,5.0,5.0,f,0,0
1663,907265092701347222,city scrape,2023-03-24,,f,1,6.14797,Entire home/apt,1.0,1.0,$120.00,5,2,5,5.0,29,89,8,0,4.38,4.75,5.0,f,1,0
1664,907728059903618407,city scrape,2023-06-06,100%,f,1,6.1290646,Entire home/apt,1.0,1.0,$130.00,21,4,21,21.0,24,84,2,0,4.5,5.0,5.0,f,1,0
1665,907801081921976401,city scrape,2015-04-08,67%,f,6,6.19842,Entire home/apt,1.0,2.0,$190.00,31,6,31,31.0,30,90,1,0,5.0,5.0,5.0,f,1,0
1666,907899488802309585,city scrape,2017-07-20,0%,f,3,6.14735,Private room,1.0,1.0,$87.00,60,2,60,60.0,29,89,1,0,5.0,5.0,5.0,f,0,0
1667,908558957965719740,city scrape,2015-07-29,100%,t,1,6.1577145,Entire home/apt,1.0,3.0,$290.00,365,2,1125,1125.0,15,75,44,0,4.93,4.91,4.93,f,1,0
1668,908614984879949707,city scrape,2021-04-03,,f,1,6.13164,Entire home/apt,1.0,1.0,$162.00,30,3,30,30.0,29,67,4,0,4.75,4.75,4.5,f,1,0
1669,908825802177831071,city scrape,2018-07-19,99%,f,31,6.12768975939976,Entire home/apt,1.0,1.0,$72.00,365,1,365,365.0,24,80,4,2,5.0,5.0,5.0,f,5,0
1670,909353615481316445,previous scrape,2023-06-08,,f,1,6.14486,Entire home/apt,,,,7,3,7,7.0,0,0,6,0,4.5,4.83,5.0,f,1,0
1671,910199328528088406,previous scrape,2018-01-31,,f,1,6.19775120168924,Entire home/apt,,,,14,7,1125,1125.0,0,0,0,0,,,,f,1,0
1672,910775763127558139,previous scrape,2014-10-17,,f,2,6.16074,Entire home/apt,,,,365,4,365,365.0,0,0,7,0,5.0,5.0,5.0,f,2,0
1673,911323250977895472,previous scrape,2015-08-15,,f,1,6.13668,Entire home/apt,,,,45,20,45,45.0,0,0,0,0,,,,f,1,0
1674,911513837158075027,previous scrape,2019-03-10,,t,5,6.11141,Private room,,,,10,2,10,10.0,0,0,4,0,4.75,5.0,4.75,f,0,0
